Bones Hyland,42,12.1,2,3,0.7,0.3
Jakob Poeltl,46,12.1,9,3.1,0.8,1.1
Marvin Bagley III,36,12,6.7,0.8,0.5,0.8
Clint Capela,58,12,11.2,0.9,0.7,1.2
Caris LeVert,69,12,3.9,3.9,1,0.3
Keegan Murray,72,12,4.6,1.2,0.8,0.5
Max Strus,73,11.9,3.3,2.2,0.6,0.2
Kyle Lowry,50,11.6,4.2,5.1,1,0.4
Josh Richardson,42,11.5,2.8,3.3,1,0.3
Malik Beasley,18,11.4,3.6,1.2,0.9,0
John Wall,34,11.4,2.7,5.2,0.8,0.4
Kris Dunn,14,11.3,4.2,5.2,1.1,0.4
Cam Reddish,18,11.3,3.1,2.1,1.3,0.3
Marcus Smart,56,11.3,3.2,6.4,1.6,0.4
Isaiah Stewart,50,11.3,8.1,1.4,0.4,0.7
Saddiq Bey,17,11.2,4.5,1,0.6,0.1
Zach Collins,59,11.2,6.3,2.8,0.6,0.7
Marcus Morris Sr.,65,11.2,4,1.8,0.6,0.3
Naz Reid,65,11.2,4.9,1.1,0.6,0.8
Terrence Ross,13,11.1,3.1,1.7,0.6,0
Moritz Wagner,51,11.1,4.7,1.6,0.7,0.2
Kentavious Caldwell-Pope,71,11,2.8,2.5,1.5,0.4
Jeremy Sochan,56,11,5.3,2.5,0.8,0.4
Bruce Brown,73,10.9,4,3.3,1,0.6
Josh Hart,18,10.9,6.7,3.8,1.4,0.4
Reggie Jackson,52,10.9,2.2,3.5,0.7,0.1
Grayson Allen,68,10.8,3.3,2.2,0.9,0.2
Eric Gordon,16,10.8,1.8,2.2,0.6,0.4
Jaylen Nowell,64,10.8,2.6,2,0.7,0.1
Mike Conley,43,10.7,2.5,7.7,1,0.2
Cameron Payne,42,10.7,2.3,4.7,0.7,0.2
Jalen McDaniels,56,10.6,4.8,2,1.2,0.5
Tyus Jones,73,10.5,2.4,5,1,0.1
Ivica Zubac,69,10.5,10,1.1,0.4,1.3
De'Anthony Melton,71,10.4,4.2,2.7,1.7,0.5
Cam Thomas,52,10.3,1.7,1.4,0.4,0.1
Monte Morris,60,10.2,3.4,5.2,0.7,0.2
Quentin Grimes,64,10.1,3.1,1.9,0.6,0.4
Corey Kispert,66,10.1,2.8,1.2,0.5,0.1
Doug McDermott,61,10.1,2.2,1.5,0.2,0.1
